model,accuracy
lr-b3b6af2e05eef0f9fcf2484fcb3dc6e8,0.8209
lr-b4063cb9855398415e4fb93502d978c8,0.6479
lr-b4a0bdb7d004a42178612a6f7f3354fd,0.6991
lr-b679852653ef2ea82a9ace9eb0d849f0,0.3278
lr-b72cb5be9b32054db9fe1468d84668b9,0.7605
lr-b7a58453d5add2e89a1a92832af6127d,0.8080
lr-b8682318e6a6555470241d0a9882dba9,0.7908
lr-b869d4bd665e88fafce9124b8573416c,0.7613
lr-b871a69dfdffde67ae3cdba97c366015,0.7807
lr-b9ae596f259e4facdcac3959e483eda1,0.7532
lr-baf515f14ff2cd092e3a2fe090b9fbd1,0.8645
lr-bcc6dcad5a517909849df1e6a1068f01,0.7231
lr-bdb3b0edcd420fde0332dcdd36e93540,0.5283
lr-bde146aad6b932c5613b72596756b826,0.2838
lr-beaefb64736bd1ea2402f00ff1d30baa,0.4099
lr-bf3321b9a1bb030c59d67a3ab8fc6323,0.2728
lr-bfb4faf01956aac8d455a8926896ad28,0.4979
lr-c027882d848eaec00dafd143b3e03974,0.3128
lr-c1ba06858a8e245d7b522f60670477e4,0.6035
lr-c20a08fc6643977c9e33a9aeebfaaf13,0.2528
lr-c2676a82ad36c212975d5f9d511cae5f,0.6357
lr-c2832daa6c107812b09bf6b5baaa894d,0.6890
lr-c38b5eec456c58b2fb079433c36409ea,0.5920
lr-c3f5bdf85b7e6c2dfe03195535f8cbfc,0.7727
lr-c4198478df0d7bf7cc66c918d9943d82,0.8187
lr-c478b21b5bc5584e994221e750bd884c,0.5833
lr-c4b4f35bf2419322e5d22e4ce4ccb340,0.5529
lr-c4ca7ee331b0c138f8a10f4590486572,0.2772
lr-c601eef2796df0302b3dbb8681281c2c,0.6639
lr-c6e670f0814ae8c83ddd12268b066c0d,0.7515
lr-c72e14b47214b15f0608f4f5faca3fd2,0.3063
lr-c74d8cbe2e27362b3016959e0b99ccf0,0.1226
lr-c758a90ae469020fb1bb761806298762,0.7934
lr-c7718f1462224b194d4e38c03c3b596a,0.7885
lr-c8c21c170cc7673cb18efd2a32e93180,0.4580
